Event Summary - Thursday, April 3, 2025 3:30:30 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Telemetry Failure to Offline.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","27/01/2025 7:28:19.988 AM","27/01/2025 7:28:19.987 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0001","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0001","S1-RCS-0001","BSP10S-19 : Master BGN (Bang Saphan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"2","24/01/2025 7:28:38.093 AM","24/01/2025 7:28:35.952 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"3","23/01/2025 11:51:13.233 AM","23/01/2025 11:51:06.473 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1026","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1026","S1-RCS-1026","CAB08S-10 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"4","23/01/2025 11:51:10.285 AM","23/01/2025 11:51:06.471 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"5","23/01/2025 1:48:40.570 AM","23/01/2025 1:48:34.594 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3327","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3327","S1-RCS-3327","BPB05S-04 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"6","23/01/2025 1:48:40.342 AM","23/01/2025 1:48:34.593 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3333","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3333","S1-RCS-3333","BPA04S-09 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"7","23/01/2025 1:48:36.706 AM","23/01/2025 1:48:34.592 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0147","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0147","S1-RCS-0147","SSA09S-09 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"8","23/01/2025 1:48:36.598 AM","23/01/2025 1:48:34.591 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0218","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0218","S1-RCS-0218","SSA03S-16 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"9","23/01/2025 1:48:36.105 AM","23/01/2025 1:48:34.591 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0382","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0382","S1-RCS-0382","XPA04S-20 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"10","23/01/2025 1:48:35.634 AM","23/01/2025 1:48:34.590 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0617","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0617","S1-RCS-0617","DNA05S-04 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"11","23/01/2025 1:48:35.629 AM","23/01/2025 1:48:34.590 AM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0619","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0619","S1-RCS-0619","DNA08S-03 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"12","15/01/2025 12:03:25.891 PM","15/01/2025 12:03:25.889 PM","Remote unit state changed from Telemetry Failure to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1093","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1093","S1-RCS-1093","LSA08S-22 : Master PLS (Pak Nam Lang Suan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""



